,symbol
0,MKKGY
1,MBI
2,EL
3,ADI
4,GIW
5,GKOS
6,IMAX
7,BBD
8,BSAC
9,PRK
10,CANE
11,EBR
12,CULL
13,MOFG
14,EBTC
15,CVLG
16,CWEN.A
17,DBO
18,DFAC
19,HVT
20,DFIN
21,AEG
22,CSPI
23,SNX
24,CASS
25,CATY
26,ACCD
27,AFYA
28,CBNK
29,MAS
30,MODV
31,SE
32,ATMP
33,AUY
34,CNK
35,CI
36,CLAS
37,WDS
38,DSEY
39,WOOF
40,SCZ
41,CVCY
42,DVAX
43,LBRDK
44,POND
45,FMNB
46,MNDT
47,III
48,IIIIU
49,ATRA
50,AXAC
51,CFIV
52,EPC
53,EWT
54,CRI
55,AXGN
56,CIO
57,CMCO
58,IIVI
59,EXPGY
60,ECVT
61,ENSG
62,EFA
63,SOHU
64,SOI
65,UAA
66,ABR
67,AIKI
68,EWW
69,DESP
70,FORG
71,CMCSA
72,FOSL
73,NVRO
74,AZZ
75,BACA
76,UA
77,CRZN
78,ILCB
79,ILCV
80,HBM
81,EGP
82,MDY
83,XTN
84,INMB
85,BLX
86,BNDX
87,COWN
88,INDT
89,FHLC
90,CPF
91,DTE
92,CPSS
93,PAQCU
94,PAWZ
95,MLNK
96,CSV
97,WSBC
98,CRF
99,WSBF
100,CSBR
101,CSLM
102,MITK
103,ECH
104,ENR
105,EDIT
106,WSC
107,CHGCY
108,WSFS
109,PRIM
110,PONO
111,MANU
112,POLY
113,CHE
114,PODD
115,FGB
116,FGBI
117,ADT
118,MAG
119,GAIN
120,IQV
121,GAMC
122,LYTS
123,BSCP
124,SPIP
125,ABC
126,GBLI
127,HOMB
128,CNTA
129,MIDD
130,SCSC
131,DBOEY
132,CLLS
133,GBNY
134,IRRX.U
135,ITB
136,GCC
137,GCLN
138,COOK
139,REVG
140,GMED
141,MGTX
142,MGV
143,SQSP
144,ITCI
145,ITGR
146,MYOV
147,FNV
148,MCHP
149,FFBC
150,MERC
151,AERI
152,DOL
153,EXPI
154,FLAC
155,FLYW
156,IYF
157,FNB
158,ROAM
159,FOLD
160,FOXA
161,FOXF
162,FROG
163,GILT
164,GO
165,BWMN
166,GTES
167,IWR
168,IWS
169,GIS
170,GOGL
171,TTAI
172,FSFG
173,FSTX
174,FSV
175,JD
176,JEPI
177,MORT
178,GOLD
179,EWZS
180,FEI
181,AXR
182,GOLF
183,JATT
184,TTAC
185,AGGR
186,FSRX
187,JEF
188,MCFT
189,FYX
190,NLSN
191,CIM
192,CLSC
193,HST
194,GLO
195,GNE
196,GNL
197,KE
198,IHYF
199,IIII
200,IMCB
201,IMCR
202,IMCV
203,IMFL
204,PEBO
205,BNS
206,BBCA
207,GSY
208,FSK
209,GT
210,MBNE
211,BY
212,PFF
213,PFFD
214,PFIN
215,IMMR
216,GOGN
217,GOOS
218,GPI
219,PFTA
220,GPK
221,SHLX
222,SSO
223,GPMT
224,GPOR
225,INVH
226,GFLU
227,JHMD
228,PNM
229,MAT
230,FSNB
231,GPRE
232,DLCA
233,GRCL
234,GRFS
235,GRIN
236,GRN
237,SANG
238,GRP.U
239,GRPN
240,CCEP
241,MAPS
242,STGW
243,CSTR
244,KBWY
245,GHM
246,CSWC
247,CSWI
248,PNT
249,GRVY
250,DEI
251,STIM
252,FDS
253,STM
254,GHG
255,GLBE
256,INOD
257,TT
258,PCB
259,ZETA
260,ZEUS
261,ZEV
262,POR
263,GSBD
264,STON
265,STOR
266,STRS
267,STRT
268,GSEV
269,GSG
270,GSHD
271,EGGF
272,INSP
273,INST
274,INSW
275,GTPB
276,SAVE
277,CHCO
278,TSP
279,PRGS
280,PRI
281,GWW
282,FTXO
283,SUAC
284,SUI
285,GXII
286,GXO
287,SUMO
288,HASI
289,IPVF
290,KRUS
291,KURA
292,LGV
293,MOO
294,PFBC
295,GLRE
296,GLT
297,GPAC
298,CTBI
299,ABGI
300,PNW
301,HBAN
302,AVT
303,ARCE
304,CION
305,GSM
306,SNSR
307,GGAL
308,HCSG
309,HCVI
310,HESM
311,GDXJ
312,TRYIY
313,ANZUU
314,CENQ
315,CLOU
316,HFXI
317,NAVI
318,PNTM
319,LYEL
320,CTLT
321,CLPR
322,CLR
323,SCLE
324,HLI
325,HLNE
326,CVEO
327,CVGI
328,LXU
329,CVGW
330,CVI
331,SDOW
332,LXP
333,CVII
334,ACM
335,CVLY
336,GGB
337,EFSC
338,SDIV
339,HMC
340,HOFT
341,GPRO
342,GSIE
343,GSIT
344,HOG
345,CLRG
346,CVBF
347,SUSA
348,SCOB
349,CVCO
350,ZI
351,XLI
352,EBAC
353,HSHCY
354,CLTL
355,LTH
356,EXPE
357,LSBK
358,DAKT
359,DALI
360,AAN
361,ZIM
362,HPE
363,HPLT
364,HRL
365,IYE
366,CMCL
367,KEP
368,CMCT
369,CRMT
370,CRTO
371,DIS
372,IDCC
373,FTAI
374,NI
375,SON
376,GDV
377,CUBA
378,CUTR
379,CWCO
380,TRNO
381,BR
382,CWST
383,IXAQ
384,LXFR
385,NOAH
386,SCL
387,XBI
388,SHC
389,FJTSY
390,FDMT
391,A
392,AACI
393,HTGC
394,HTH
395,ALLY
396,FCX
397,NJDCY
398,BCS
399,IXN
400,LRFC
401,OSH
402,OSIS
403,PARR
404,IXUS
405,BL
406,DEED
407,CCJ
408,BCSA
409,HTHT
410,HWKZ
411,HUYA
412,HWEL
413,GSK
414,HWM
415,HXL
416,HY
417,HYDW
418,PBA
419,HYEM
420,HYG
421,LQIG
422,FTCS
423,FSLY
424,SNP
425,IVLU
426,FERG
427,BCSF
428,HYLB
429,HYMB
430,ZLAB
431,NGVT
432,TCOM
433,SBFG
434,ASEA
435,SBAC
436,DHIL
437,BLI
